id,numero_convenio,convocatorio,titulo_proyecto,titulo_corto,eje_estrategico,tematica,palabras_clave,titular_proyecto,institucion,institucion_adjudicada,alcaldia,colonia,monto_asignado_mxn,fecha_inicio,fecha_fin,estatus_proyecto
1,CDMX-2025-001,2025,Modelo de gestión hídrica para zonas de alta vulnerabilidad,Gestión Hídrica Iztapalapa,Agua y Sustentabilidad,Gestión del agua,"agua, vulnerabilidad, acuíferos",Dra. Mariana López,UNAM,Instituto de Ingeniería,Iztapalapa,Santa Cruz Meyehualco,2500000,15/01/2025,15/01/2026,En ejecución
2,CDMX-2025-002,2025,Sistema de monitoreo de calidad del aire en tiempo real,Aire CDMX Norte,Medio Ambiente,Calidad del aire,"aire, sensores, contaminación",Dr. Carlos Mendoza,IPN,ESIME Azcapotzalco,Azcapotzalco,Industrial Vallejo,1800000,01/02/2025,31/12/2025,En ejecución
3,CDMX-2025-003,2025,Plataforma digital para análisis de movilidad urbana,Movilidad Inteligente,Movilidad y Espacio Público,Movilidad urbana,"movilidad, datos abiertos, transporte",Mtra. Laura Sánchez,UAM,UAM Azcapotzalco,Cuauhtémoc,Centro,3200000,01/03/2025,01/03/2026,En ejecución
4,CDMX-2025-004,2025,Evaluación de riesgo por inundaciones en Tlalpan,Riesgo Hídrico Sur,Gestión de Riesgos,Riesgos climáticos,"inundaciones, riesgo, clima",Dr. Andrés Rivera,UNAM,Instituto de Geografía,Tlalpan,San Miguel Topilejo,2100000,10/01/2025,30/11/2025,En ejecución
5,CDMX-2025-005,2025,Optimización energética en edificios públicos,Eficiencia Energética,Transición Energética,Eficiencia energética,"energía, eficiencia, edificios",Dra. Sofía Hernández,IPN,UPIITA,Gustavo A. Madero,Lindavista,1500000,20/02/2025,30/10/2025,En ejecución
6,CDMX-2025-006,2025,Sistema de información geoespacial para planeación territorial,SIG Territorial,Innovación y Tecnología,Sistemas de información,"SIG, geodatos, planeación",Dr. Ricardo Morales,CentroGeo,CentroGeo,Santa Fe,Cuajimalpa,4000000,05/01/2025,30/06/2026,En ejecución
7,CDMX-2025-007,2024,Programa piloto de captación pluvial en escuelas,Captación Escolar,Agua y Sustentabilidad,Captación pluvial,"agua, escuelas, lluvia",Mtra. Daniela Torres,UAM,UAM Iztapalapa,Iztapalapa,San Lorenzo Tezonco,1200000,15/03/2025,15/12/2025,Planeación
8,CDMX-2025-008,2024,Análisis de calor urbano en zonas centrales,Isla de Calor Centro,Medio Ambiente,Cambio climático,"calor urbano, clima, salud",Dr. José Ramírez,UNAM,Facultad de Arquitectura,Cuauhtémoc,Doctores,2700000,10/02/2025,10/02/2026,En ejecución
9,CDMX-2025-009,2024,Estudio socioeconómico para rehabilitación de mercados,Mercados Vivos,Desarrollo Económico,Economía local,"mercados, economía, comercio",Dra. Patricia Gómez,UAM,UAM Xochimilco,Xochimilco,Santiago Tulyehualco,950000,20/01/2025,30/08/2025,Finalizado
10,CDMX-2025-010,2024,Digitalización de archivos históricos urbanos,Archivo Digital CDMX,Innovación y Tecnología,Digitalización,"archivos, digital, patrimonio",Dr. Miguel Ávila,UNAM,Instituto de Investigaciones Históricas,Coyoacán,Del Carmen,1100000,01/04/2025,01/04/2026,En ejecución
11,CDMX-2025-011,2024,Modelo predictivo de demanda de transporte público,Demanda Transporte,Movilidad y Espacio Público,Transporte público,"transporte, predicción, datos",Dr. Luis Herrera,IPN,ESIME Zacatenco,Gustavo A. Madero,San Juan de Aragón,2900000,01/02/2025,01/02/2026,En ejecución
12,CDMX-2025-012,2024,Diagnóstico integral de residuos sólidos,Residuos CDMX,Medio Ambiente,Residuos sólidos,"residuos, reciclaje, basura",Mtra. Elisa Martínez,UAM,UAM Azcapotzalco,Azcapotzalco,Clavería,1300000,01/03/2025,01/12/2025,Planeación
